male,age_categorical,married,education_categorical,race_categorical,alc_outlet_density,binge_drink,neighborhood_id
1,6,0,2,2,60,0,8
1,2,0,1,2,60,1,8
1,2,1,3,1,60,0,8
0,1,0,1,1,60,0,8
0,2,1,4,1,60,0,8
1,2,1,3,2,60,0,8
1,5,0,3,3,60,0,8
0,5,0,3,3,60,0,8
1,3,0,2,2,60,0,8
0,4,0,2,4,60,0,8
0,4,0,3,3,60,0,8
1,3,0,1,3,60,1,8
0,5,0,1,2,60,0,8
0,5,0,3,4,60,0,8
1,6,0,2,1,60,0,8
0,6,0,3,1,60,0,8
0,2,0,3,2,60,0,8
1,4,1,2,2,60,0,8
0,2,1,3,4,60,0,8
0,3,0,2,1,60,0,8
0,2,1,2,3,63,0,9
1,1,1,2,1,63,0,9
1,2,1,2,1,63,0,9
1,4,1,2,3,63,0,9
1,4,0,1,1,63,0,9
0,4,0,3,3,63,0,9
0,1,0,3,3,63,0,9
1,3,0,2,2,63,0,9
1,1,0,2,3,63,0,9
0,3,0,1,2,63,1,9
1,2,1,2,1,63,0,9
1,4,0,1,1,63,0,9
1,3,0,4,1,63,0,9
1,5,1,4,1,63,0,9
1,1,0,2,1,63,0,9
1,1,1,4,1,63,0,9
0,4,0,1,1,63,1,9
0,2,0,1,3,63,0,9
1,3,0,3,2,63,0,9
1,2,1,2,1,63,0,9
0,6,0,3,1,63,0,9
0,6,0,1,3,63,0,9
0,1,0,1,2,63,0,9
0,1,0,1,1,63,1,9
1,1,0,3,2,63,0,9
1,5,1,1,1,63,0,9
1,3,0,2,2,63,0,9
1,5,0,4,1,63,0,9
0,3,0,3,1,63,0,9
1,4,1,1,1,63,0,9
1,1,0,4,1,63,0,9
1,6,0,4,3,63,0,9
0,5,1,3,2,63,0,9
0,4,1,2,2,63,0,9
0,4,0,1,2,63,0,9
0,4,0,3,4,63,0,9
1,3,0,3,2,63,1,9
0,2,0,4,1,63,0,9
1,3,0,4,2,63,0,9
1,3,0,3,2,63,0,9
1,3,0,3,4,63,0,9
1,4,1,3,3,63,0,9
1,2,1,2,1,63,0,9
0,6,0,3,1,63,0,9
1,4,0,1,2,63,0,9
1,1,0,2,1,63,0,9
0,6,0,4,2,63,0,9
0,5,0,2,1,63,0,9
0,5,1,1,1,63,0,9
1,5,1,1,2,63,0,9
1,4,0,2,2,63,0,9
1,5,0,4,4,63,0,9
0,2,1,3,3,63,0,9
0,4,0,4,1,63,0,9
0,2,0,3,2,63,0,9
0,3,0,1,1,63,0,9
1,3,0,4,1,63,1,9
0,1,0,4,2,63,0,9
1,6,0,3,2,63,0,9
1,5,0,2,1,63,1,9
0,3,0,2,2,63,0,9
1,1,1,3,4,63,0,9
1,6,0,2,3,63,0,9
0,6,0,3,2,63,0,9
1,3,1,2,3,63,0,9
0,2,1,3,1,63,0,9
0,5,0,1,3,63,0,9
1,5,0,3,2,63,0,9
1,5,0,2,2,63,0,9
1,6,0,4,1,63,0,9
0,6,0,1,2,63,0,9
0,1,1,3,1,63,0,9
1,1,0,2,3,63,0,9
0,4,0,1,1,63,0,9
0,1,0,3,2,63,0,9
0,5,1,4,4,63,0,9
1,6,0,4,1,63,0,9
1,1,0,1,1,63,1,9
0,5,1,2,2,63,0,9
0,2,1,2,1,63,0,9
1,4,1,1,2,63,0,9
0,5,1,3,1,63,0,9
1,3,1,2,2,63,0,9
1,3,0,2,1,63,0,9
1,6,0,2,4,63,0,9
1,4,0,4,1,63,0,9
0,1,0,3,1,63,0,9
1,4,0,4,3,63,0,9
0,2,1,1,1,63,0,9
1,3,1,2,1,63,0,9
0,6,0,1,2,63,0,9
0,5,0,3,2,63,0,9
0,6,0,4,4,63,0,9
0,1,0,2,1,63,0,9
1,4,0,4,3,63,0,9
0,4,0,2,4,63,0,9
1,5,1,2,4,63,0,9
0,4,0,4,2,63,0,9
0,4,0,2,2,63,0,9
0,5,1,3,1,63,0,9
0,4,1,1,1,63,0,9
0,5,0,1,1,66,1,10
1,4,0,2,3,66,0,10
1,3,1,2,1,66,0,10
0,2,0,3,1,66,0,10
0,4,0,4,1,66,0,10
0,3,0,1,1,66,0,10
0,1,0,2,1,66,0,10
0,5,0,3,3,66,0,10
1,3,1,2,1,66,0,10
1,2,0,1,2,66,1,10
0,5,0,3,2,66,0,10
0,4,0,4,3,66,0,10
0,3,0,2,1,66,0,10
1,6,0,1,2,66,0,10
0,4,0,2,2,66,0,10
0,1,0,4,3,66,0,10
0,4,0,2,4,66,0,10
1,1,0,3,2,66,1,10
0,3,0,2,4,66,0,10
1,6,0,2,1,66,1,10
0,5,0,1,4,66,0,10
1,2,1,4,4,66,0,10
1,4,0,3,3,66,0,10
0,4,0,3,1,66,0,10
0,6,0,3,1,66,0,10
0,4,0,4,1,66,0,10
0,1,0,3,4,66,0,10
0,4,1,2,1,66,0,10
1,3,0,3,3,66,0,10
0,3,0,2,2,66,0,10
1,3,0,1,1,66,1,10
0,5,0,2,4,66,0,10
1,3,1,3,1,66,0,10
0,5,0,2,2,66,0,10
1,3,0,3,1,66,0,10
1,4,1,1,1,66,0,10
1,6,0,2,3,66,1,10
1,2,0,3,1,66,0,10
0,5,1,1,4,66,0,10
0,2,0,1,2,66,0,10
0,2,0,2,1,66,0,10
0,4,0,1,2,66,0,10
0,5,0,1,3,66,1,10
0,2,0,2,1,66,0,10
1,3,0,3,3,66,0,10
0,5,0,2,1,66,0,10
0,5,0,2,3,66,0,10
1,1,0,2,2,66,0,10
0,2,0,2,2,66,0,10
0,6,0,4,1,66,0,10
1,4,0,2,3,66,0,10
1,2,1,2,3,66,0,10
0,3,0,2,4,66,0,10
0,3,1,1,3,66,0,10
1,2,1,1,4,66,0,10
1,1,0,3,1,66,0,10
1,3,1,2,1,66,0,10
1,4,0,2,3,66,0,10
0,2,1,4,3,66,0,10
0,2,1,4,2,66,0,10
0,1,1,4,3,66,0,10
1,3,1,4,1,66,0,10
1,5,1,2,1,66,0,10
0,4,0,4,3,66,0,10
0,5,0,1,2,66,0,10
1,3,0,3,2,66,1,10
0,6,0,2,2,66,0,10
0,1,0,3,1,66,0,10
0,2,0,2,1,66,0,10
1,1,0,2,2,66,0,10
0,2,0,2,2,66,0,10
0,3,0,2,2,66,1,10
1,4,0,4,4,66,0,10
1,6,0,2,1,66,1,10
1,3,0,2,3,66,0,10
1,3,1,1,3,66,0,10
0,2,0,2,2,66,0,10
1,4,1,2,3,66,0,10
0,1,0,3,1,66,0,10
0,5,0,4,4,66,0,10
0,4,0,4,3,66,0,10
0,3,1,2,4,66,0,10
0,5,0,3,3,66,0,10
1,1,1,3,4,66,0,10
0,4,0,1,1,66,0,10
0,3,1,1,3,66,0,10
1,1,1,2,3,66,0,10
0,2,0,3,1,66,0,10
1,3,0,3,2,66,0,10
1,4,0,3,1,66,0,10
0,3,0,4,2,66,0,10
1,3,1,3,2,66,0,10
0,2,1,3,1,66,0,10
1,3,1,4,2,66,0,10
0,3,0,3,2,66,0,10
0,4,1,3,2,66,0,10
1,5,0,3,1,69,1,11
1,1,0,2,2,69,1,11
0,6,1,2,4,69,0,11
0,2,0,1,2,69,1,11
1,2,0,3,2,69,0,11
0,3,0,2,3,69,0,11
0,2,0,1,2,69,0,11
1,6,1,2,4,69,0,11
1,3,0,2,3,69,0,11
0,4,0,2,3,69,0,11
1,3,0,1,3,69,1,11
0,2,0,2,1,69,0,11
0,6,0,3,2,69,0,11
1,2,1,2,2,69,0,11
1,3,0,1,1,69,0,11
1,6,0,2,1,69,0,11
0,6,1,3,2,69,0,11
0,2,1,3,3,69,0,11
0,1,0,1,1,69,0,11
0,4,0,2,2,69,0,11
0,3,0,1,1,69,0,11
1,4,0,3,2,69,0,11
0,3,1,2,3,69,0,11
0,4,0,2,1,69,0,11
1,2,0,4,3,69,0,11
0,1,0,3,2,69,0,11
1,4,0,1,2,69,0,11
1,2,0,1,1,69,0,11
1,3,0,3,1,69,0,11
0,2,0,2,1,69,0,11
1,5,1,3,3,69,0,11
0,1,0,2,2,69,0,11
0,1,1,1,1,69,0,11
1,3,1,3,1,69,0,11
0,4,0,4,2,69,0,11
1,4,0,2,2,69,1,11
0,4,0,3,1,69,0,11
1,5,1,1,2,69,0,11
1,2,1,3,2,69,0,11
0,3,0,1,1,69,1,11
1,4,1,3,4,69,0,11
0,2,0,2,1,69,0,11
1,5,0,1,3,69,0,11
0,5,1,3,1,69,0,11
0,1,1,4,3,69,0,11
0,4,0,2,1,69,0,11
1,4,0,1,1,69,1,11
1,4,0,2,3,69,1,11
0,3,1,3,1,69,0,11
1,4,0,1,2,69,1,11
0,3,0,3,2,69,0,11
1,2,0,3,2,69,0,11
0,1,0,3,2,69,0,11
0,6,0,2,4,69,0,11
1,5,0,3,1,69,0,11
1,2,0,3,2,69,0,11
0,3,0,2,4,69,0,11
0,1,0,2,1,69,0,11
0,3,1,2,3,69,0,11
0,1,0,2,4,69,0,11
0,4,0,3,1,69,0,11
1,3,1,4,2,69,0,11
0,1,0,2,1,69,0,11
1,3,0,1,3,69,1,11
0,3,0,3,1,69,0,11
1,5,1,2,1,69,0,11
0,2,0,2,1,69,0,11
0,3,1,1,1,69,0,11
0,2,0,4,1,69,0,11
0,4,1,3,1,69,0,11
1,4,0,2,3,69,1,11
0,2,1,2,2,69,0,11
0,3,0,2,1,69,1,11
0,5,0,2,1,69,0,11
0,3,0,2,4,69,0,11
1,2,1,3,2,69,0,11
1,3,0,3,1,69,0,11
1,4,0,2,3,69,1,11
1,4,0,1,2,69,1,11
0,5,0,3,4,69,0,11
1,3,0,2,1,69,0,11
1,4,0,2,1,69,1,11
0,6,0,3,2,69,0,11
0,6,0,2,1,69,0,11
1,6,0,3,1,69,0,11
0,6,0,3,1,69,0,11
0,3,0,3,4,69,0,11
1,6,0,2,1,69,0,11
0,2,0,3,1,69,0,11
1,2,0,3,2,69,0,11
0,4,1,3,1,69,0,11
1,3,0,3,3,69,0,11
1,4,0,1,1,69,0,11
1,6,1,2,3,69,0,11
0,5,1,2,2,69,0,11
0,4,0,3,1,69,1,11
0,3,1,2,3,69,0,11
0,2,0,3,1,69,0,11
0,2,1,1,3,69,0,11
0,5,1,4,4,69,0,11
0,1,0,4,2,69,0,11
1,6,1,4,3,69,0,11
1,2,0,2,2,69,0,11
0,2,1,3,1,69,0,11
1,2,0,2,1,69,0,11
1,3,0,2,3,69,0,11
0,5,1,3,2,69,0,11
0,4,0,2,2,69,0,11
0,2,0,2,2,69,0,11
1,4,0,3,4,69,0,11
1,2,1,4,2,69,0,11
1,4,0,2,1,69,1,11
1,2,0,4,1,69,0,11
1,3,1,1,2,69,0,11
0,4,0,2,1,69,1,11
0,5,0,1,1,72,1,12
1,3,0,1,1,72,0,12
0,2,1,3,1,72,0,12
1,2,1,2,4,72,0,12
1,2,0,2,3,72,0,12
0,5,1,2,1,72,0,12
0,3,1,1,2,72,0,12
0,2,1,3,1,72,0,12
0,6,0,1,1,72,0,12
1,2,1,2,1,72,0,12
1,3,1,1,2,72,0,12
1,5,0,3,1,72,0,12
0,4,0,2,1,72,0,12
0,6,1,2,3,72,0,12
1,2,0,3,2,72,0,12
1,5,0,2,3,72,1,12
1,6,0,3,3,72,0,12
1,6,0,3,1,72,0,12
1,6,0,2,2,72,0,12
0,5,0,3,2,72,0,12
1,3,1,3,2,72,0,12
0,2,0,2,1,72,0,12
1,3,1,3,2,72,0,12
0,5,1,2,1,72,0,12
1,5,0,3,3,72,1,12
0,5,0,3,1,72,0,12
1,5,0,1,1,72,0,12
0,3,1,1,1,72,0,12
0,4,0,2,3,72,0,12
0,3,0,3,1,72,0,12
0,3,1,2,1,72,0,12
1,4,1,2,3,72,0,12
0,1,0,3,1,72,0,12
0,4,0,3,1,72,0,12
1,2,1,3,2,72,0,12
0,5,0,2,1,72,0,12
1,3,0,4,1,72,0,12
0,5,0,3,2,72,0,12
1,6,0,2,2,72,0,12
0,2,0,3,4,72,0,12
0,5,0,3,1,72,0,12
1,2,0,2,1,72,0,12
1,4,0,1,1,72,1,12
1,4,1,2,1,72,0,12
1,3,0,2,4,72,1,12
0,3,1,2,2,72,0,12
0,6,0,4,1,72,0,12
0,3,1,2,2,72,0,12
0,3,0,3,3,72,0,12
0,4,1,1,1,72,0,12
0,4,0,2,3,72,0,12
0,6,0,3,1,72,0,12
0,4,1,1,3,72,0,12
1,5,0,2,1,72,0,12
1,4,0,1,1,72,1,12
1,5,1,1,1,72,0,12
1,2,0,3,2,72,0,12
0,3,1,3,1,72,0,12
1,2,1,1,3,72,0,12
0,2,0,4,1,72,0,12
1,2,0,3,2,72,1,12
0,2,1,4,3,72,0,12
1,5,0,2,2,72,1,12
1,2,0,2,3,72,0,12
1,4,0,3,1,72,0,12
0,3,0,2,3,72,0,12
0,1,0,3,4,72,0,12
1,1,0,4,1,72,0,12
0,5,0,3,3,72,0,12
0,3,1,3,2,72,0,12
0,5,0,4,3,72,0,12
1,2,0,4,3,72,0,12
0,4,1,3,3,72,0,12
1,1,0,2,3,72,0,12
0,3,0,2,4,72,0,12
1,4,0,3,3,72,0,12
1,3,0,1,1,72,1,12
0,2,1,1,3,72,0,12
1,1,0,1,3,72,1,12
0,4,0,3,1,72,0,12
0,2,0,4,3,72,0,12
1,2,0,2,3,72,0,12
0,5,0,2,2,72,0,12
0,3,0,2,1,72,0,12
1,4,0,1,3,72,0,12
1,2,1,2,1,72,0,12
1,2,1,4,1,72,0,12
0,4,0,2,1,72,0,12
1,2,0,2,2,72,1,12
0,5,0,4,4,72,0,12
1,5,0,1,2,72,1,12
0,3,0,4,1,72,0,12
0,4,0,4,3,72,0,12
0,3,0,2,1,72,0,12
1,1,1,2,3,72,0,12
0,3,1,3,4,72,0,12
1,5,1,3,4,72,0,12
1,4,0,2,3,72,0,12
0,5,0,3,3,72,0,12
1,1,0,3,1,72,0,12
1,3,1,3,3,72,0,12
1,4,0,3,2,72,0,12
0,6,0,2,1,72,0,12
1,6,0,1,3,72,0,12
1,5,1,2,1,72,0,12
1,2,0,1,1,72,0,12
0,4,1,4,2,72,0,12
0,3,0,4,3,72,0,12
1,1,1,2,1,72,0,12
0,4,0,3,2,72,0,12
1,3,0,3,1,72,0,12
0,3,0,2,4,72,0,12
1,4,0,4,1,72,0,12
1,4,0,3,1,72,0,12
1,2,1,3,4,72,0,12
0,2,0,2,1,72,0,12
1,2,0,4,1,72,0,12
0,4,0,3,3,72,0,12
0,6,0,2,2,72,0,12
1,4,0,3,1,72,0,12
0,1,0,2,3,72,0,12
1,2,0,1,1,72,1,12
1,4,0,1,2,72,1,12
0,4,0,3,2,72,0,12
1,1,0,1,3,75,0,13
1,4,0,1,2,75,1,13
0,1,0,3,3,75,0,13
1,2,0,3,1,75,0,13
1,3,0,1,3,75,0,13
0,5,0,4,1,75,0,13
1,4,1,3,2,75,0,13
0,2,0,4,2,75,0,13
1,5,0,2,3,75,0,13
1,5,1,3,3,75,0,13
0,4,1,3,2,75,0,13
0,1,1,4,1,75,0,13
0,5,0,2,1,75,0,13
1,3,0,3,2,75,0,13
1,6,0,2,2,75,0,13
0,6,0,3,3,75,0,13
1,2,0,3,2,75,0,13
1,3,0,4,2,75,0,13
1,2,0,2,1,75,0,13
0,2,0,3,3,75,0,13
0,3,1,1,2,75,0,13
1,1,0,1,4,75,1,13
1,4,1,3,1,75,0,13
1,3,1,2,1,75,0,13
0,2,0,2,4,75,0,13
1,4,1,2,3,75,0,13
1,4,0,3,1,75,0,13
