A,L,B_true,C_true,M2,M3,B,C,id
0,0.09,0,0,0,0,0.0,0.0,17717
1,-0.051,0,0,1,1,,,90957
0,1.659,1,0,0,1,1.0,,91577
1,1.117,0,0,1,1,,,49296
0,0.434,0,0,1,1,,,41024
1,1.085,1,1,0,1,1.0,,5827
0,-0.362,1,1,0,1,1.0,,74994
1,-0.277,1,1,0,1,1.0,,75442
1,0.994,0,0,0,0,0.0,0.0,11398
0,-0.731,1,1,0,1,1.0,,22383
0,0.206,1,1,0,1,1.0,,28203
0,-0.615,1,1,0,1,1.0,,45333
1,0.419,0,0,0,1,0.0,,61231
1,0.326,1,0,0,1,1.0,,8984
0,-1.3019999999999998,1,1,0,1,1.0,,63949
0,-0.03,1,1,0,1,1.0,,70484
1,-1.856,1,0,0,1,1.0,,8887
0,-0.8590000000000001,0,0,0,1,0.0,,37325
0,0.319,0,1,0,1,0.0,,63929
1,1.751,0,0,0,1,0.0,,99593
1,1.395,1,1,0,1,1.0,,14917
0,0.369,1,0,0,1,1.0,,83813
1,0.7,0,1,0,0,0.0,1.0,69176
1,2.365,1,1,0,1,1.0,,13447
1,-0.74,1,1,0,1,1.0,,37734
0,0.151,1,1,0,1,1.0,,91154
1,-0.057,1,1,1,1,,,46523
1,0.078,1,0,0,1,1.0,,24402
1,-0.159,0,0,0,0,0.0,0.0,29607
0,-0.279,0,0,0,0,0.0,0.0,47030
0,0.226,0,1,0,1,0.0,,67851
0,-1.074,0,1,0,0,0.0,1.0,73602
0,0.035,1,1,0,1,1.0,,62482
0,-1.267,1,1,0,1,1.0,,22449
0,0.322,1,0,0,1,1.0,,97295
0,-0.523,0,0,0,1,0.0,,20317
1,0.7959999999999999,0,0,0,1,0.0,,27467
1,-1.935,0,1,0,1,0.0,,16320
0,0.006,0,1,0,1,0.0,,93094
0,0.034,1,1,0,1,1.0,,6033
0,-0.097,0,1,0,1,0.0,,28302
0,0.207,0,1,0,0,0.0,1.0,61526
0,-0.51,1,0,0,1,1.0,,87735
0,1.075,0,0,0,0,0.0,0.0,70023
0,1.083,1,1,0,1,1.0,,63605
0,-0.593,0,0,0,1,0.0,,39076
1,-1.471,0,1,1,1,,,27819
1,0.608,0,0,0,0,0.0,0.0,62216
0,-0.037000000000000005,0,0,0,1,0.0,,75479
0,0.153,1,0,0,1,1.0,,81547
0,0.114,1,0,0,1,1.0,,92459
1,-0.049,0,1,0,0,0.0,1.0,91032
0,-0.03,1,1,0,1,1.0,,38453
1,-0.305,0,1,1,1,,,4166
1,0.145,0,0,0,1,0.0,,89761
1,1.517,0,1,1,1,,,35169
1,0.142,0,1,0,0,0.0,1.0,40873
0,-0.129,0,0,1,1,,,78430
0,0.728,1,1,0,1,1.0,,58476
0,0.272,1,1,0,0,1.0,1.0,4156
0,-0.7120000000000001,1,1,0,1,1.0,,87689
0,-0.305,1,1,1,1,,,10478
1,0.024,0,0,0,1,0.0,,6510
1,-0.947,0,1,0,0,0.0,1.0,74808
0,-0.173,1,1,0,1,1.0,,37169
0,0.127,1,0,0,1,1.0,,49914
0,-0.5770000000000001,0,0,0,1,0.0,,12148
1,2.6210000000000004,1,1,0,1,1.0,,56150
0,1.862,0,0,0,1,0.0,,89542
0,-0.135,1,0,0,1,1.0,,8136
0,-0.792,0,0,0,1,0.0,,33636
0,0.298,1,1,0,1,1.0,,12010
0,-0.985,1,1,0,1,1.0,,3607
0,1.098,1,1,0,1,1.0,,62460
0,-0.8540000000000001,1,0,0,1,1.0,,93863
0,1.307,0,1,0,0,0.0,1.0,149
1,-0.831,1,0,0,1,1.0,,728
1,-0.715,1,1,0,1,1.0,,49034
0,0.821,0,1,1,1,,,92349
1,1.661,1,0,0,1,1.0,,52470
0,1.262,1,1,0,1,1.0,,79772
0,0.157,0,1,0,0,0.0,1.0,97112
1,-0.048,1,1,0,1,1.0,,70740
0,1.648,0,0,1,1,,,26215
1,-1.531,0,0,0,1,0.0,,62010
1,0.449,1,1,0,1,1.0,,44426
0,-1.4509999999999998,1,1,0,1,1.0,,63855
0,-1.048,0,0,1,1,,,98277
1,0.195,0,1,1,1,,,45033
0,0.101,1,1,0,1,1.0,,80234
0,-0.29100000000000004,0,0,0,1,0.0,,76273
0,-0.071,0,0,0,0,0.0,0.0,95378
0,0.65,0,1,0,1,0.0,,16992
1,0.882,0,1,0,1,0.0,,60717
0,0.737,0,0,0,0,0.0,0.0,16890
0,-1.145,1,1,0,1,1.0,,76587
1,-0.424,1,1,0,1,1.0,,38819
0,1.164,0,1,0,0,0.0,1.0,85237
1,-0.325,0,0,0,1,0.0,,8408
1,-0.187,0,1,1,1,,,9107
0,0.954,1,1,0,1,1.0,,30707
0,0.38,0,0,0,0,0.0,0.0,63035
0,0.954,0,1,0,0,0.0,1.0,98327
1,-0.489,0,0,0,1,0.0,,62181
0,0.001,0,0,0,0,0.0,0.0,49838
1,-0.597,1,1,1,1,,,2927
0,-1.056,0,1,0,1,0.0,,95855
0,2.362,1,1,0,1,1.0,,51766
0,3.205,1,1,0,1,1.0,,46726
1,0.815,1,1,1,1,,,15641
0,-0.334,1,1,0,1,1.0,,96705
1,0.945,0,0,1,1,,,63015
0,-0.8390000000000001,0,0,0,0,0.0,0.0,22167
1,-0.299,0,0,0,0,0.0,0.0,84162
1,0.198,0,1,0,0,0.0,1.0,75070
0,0.568,0,1,0,1,0.0,,33846
1,-0.305,1,1,0,1,1.0,,17307
1,-0.987,0,0,0,0,0.0,0.0,33625
0,-0.396,1,0,1,1,,,31514
0,1.574,0,0,1,1,,,41607
0,0.003,0,1,0,0,0.0,1.0,65453
0,-0.309,0,1,0,0,0.0,1.0,71219
1,0.09,0,0,0,0,0.0,0.0,40456
0,0.897,0,0,0,0,0.0,0.0,48890
0,-1.153,0,1,0,1,0.0,,36880
1,-0.14400000000000002,1,0,0,1,1.0,,73282
0,0.698,0,1,0,0,0.0,1.0,95166
0,0.935,0,0,0,0,0.0,0.0,13126
0,1.182,0,0,0,0,0.0,0.0,55239
1,0.649,1,1,0,1,1.0,,57566
0,-0.321,0,0,0,0,0.0,0.0,18827
1,0.019,0,1,1,1,,,96198
1,0.396,1,1,0,1,1.0,,20331
0,-1.113,0,0,0,1,0.0,,86036
0,0.5820000000000001,0,0,0,1,0.0,,65315
1,-1.306,0,1,0,0,0.0,1.0,64993
0,0.35600000000000004,0,0,0,0,0.0,0.0,25917
1,-0.386,1,1,0,1,1.0,,8212
1,-0.958,0,1,0,0,0.0,1.0,21483
0,-0.065,1,1,0,1,1.0,,7528
0,-0.477,0,0,0,1,0.0,,89519
1,1.287,0,0,0,1,0.0,,84228
1,0.287,0,0,1,1,,,2724
0,-1.482,0,0,0,0,0.0,0.0,37151
0,0.879,1,1,0,1,1.0,,41118
0,-0.431,0,0,0,1,0.0,,71783
1,-0.057,1,0,0,1,1.0,,37100
1,0.608,0,1,0,1,0.0,,72857
0,-0.93,0,0,0,0,0.0,0.0,21400
0,-0.11,1,1,0,1,1.0,,94173
1,0.478,1,1,0,1,1.0,,35343
1,-0.329,1,1,1,1,,,7431
1,1.36,1,1,0,1,1.0,,81660
1,-0.3670000000000001,1,0,0,1,1.0,,79483
0,-1.2819999999999998,1,0,0,1,1.0,,41066
1,-0.054000000000000006,0,1,0,1,0.0,,52764
0,-1.787,0,1,1,1,,,26698
0,-1.442,1,1,0,1,1.0,,36609
1,-1.508,0,1,0,1,0.0,,84916
0,0.941,1,1,0,1,1.0,,38567
1,0.464,0,1,0,1,0.0,,25191
0,-0.516,0,1,0,1,0.0,,27526
1,1.609,0,0,0,1,0.0,,1297
1,0.8859999999999999,0,1,0,1,0.0,,36454
1,0.159,0,1,0,0,0.0,1.0,66198
0,0.7759999999999999,0,1,0,1,0.0,,92971
1,-0.22,1,0,0,1,1.0,,71600
0,-0.041,1,1,0,0,1.0,1.0,24913
1,0.629,0,1,0,1,0.0,,40450
0,-0.171,0,0,0,1,0.0,,27227
1,-0.064,0,1,0,0,0.0,1.0,92985
1,-3.419,0,0,0,1,0.0,,71406
1,1.327,0,0,0,1,0.0,,87354
0,1.136,1,1,0,1,1.0,,83203
1,-0.325,1,1,0,1,1.0,,24040
1,-0.585,0,0,1,1,,,56187
0,-1.075,1,0,0,1,1.0,,87127
0,-0.605,0,0,0,0,0.0,0.0,58634
0,1.4269999999999998,0,1,1,1,,,82394
1,-0.015,0,0,0,1,0.0,,77663
0,1.773,0,0,0,1,0.0,,86281
0,1.977,0,0,0,0,0.0,0.0,52608
0,-0.333,1,1,0,1,1.0,,60814
0,0.509,0,0,0,0,0.0,0.0,41787
0,-0.589,1,1,0,1,1.0,,37780
0,-0.593,0,0,0,1,0.0,,67167
0,0.243,1,1,0,1,1.0,,39536
0,-0.718,1,0,0,1,1.0,,57841
0,0.35,0,0,0,0,0.0,0.0,52264
0,-0.505,0,1,0,1,0.0,,79523
0,0.488,0,0,1,1,,,49857
0,-0.297,1,1,0,0,1.0,1.0,76223
0,-0.664,1,1,1,1,,,16317
0,-0.059,0,0,0,1,0.0,,86083
0,0.14,1,1,0,1,1.0,,3401
0,-0.802,0,1,0,0,0.0,1.0,8124
0,-2.46,0,0,0,1,0.0,,10011
1,-0.895,1,1,0,1,1.0,,38721
0,1.031,0,0,0,0,0.0,0.0,36665
0,-0.267,1,1,0,1,1.0,,84934
0,-0.499,1,1,0,1,1.0,,30661
1,-2.16,1,1,0,1,1.0,,10174
0,-2.375,1,1,0,1,1.0,,73303
0,1.29,0,0,0,0,0.0,0.0,73669
1,-1.3119999999999998,1,1,0,1,1.0,,87192
0,0.6609999999999999,1,1,0,1,1.0,,97910
0,1.134,0,0,0,0,0.0,0.0,22742
0,1.669,1,1,0,1,1.0,,59268
0,0.745,0,1,0,1,0.0,,53376
0,-0.912,0,0,0,1,0.0,,18854
0,0.116,1,1,0,1,1.0,,36000
1,0.094,0,1,0,1,0.0,,82504
0,-0.091,0,1,0,0,0.0,1.0,75729
0,2.508,0,0,1,1,,,37004
0,0.219,0,1,1,1,,,49960
0,0.818,0,0,0,1,0.0,,60111
1,-1.783,0,1,0,1,0.0,,35973
0,-0.868,0,0,0,1,0.0,,49621
0,1.5319999999999998,1,1,0,1,1.0,,31565
0,0.627,1,0,0,1,1.0,,58483
1,0.297,1,0,0,1,1.0,,40925
0,-0.454,0,1,0,1,0.0,,1370
0,0.21600000000000005,0,0,0,0,0.0,0.0,41500
1,0.401,0,0,1,1,,,2727
0,-1.272,1,1,0,1,1.0,,89018
1,-0.955,0,0,0,1,0.0,,4304
0,-2.638,0,1,0,0,0.0,1.0,23995
0,0.449,1,1,0,1,1.0,,42720
1,-0.74,1,1,0,1,1.0,,83704
0,-0.555,0,0,0,0,0.0,0.0,27128
0,-1.3130000000000002,0,0,0,1,0.0,,19270
0,-2.168,0,0,0,0,0.0,0.0,99568
0,-0.037000000000000005,0,1,0,1,0.0,,68251
0,0.002,0,1,0,0,0.0,1.0,52794
1,0.28300000000000003,1,0,1,1,,,92846
0,0.685,0,1,1,1,,,25083
1,0.4370000000000001,1,1,1,1,,,21670
1,-0.268,0,1,0,1,0.0,,38790
0,-0.638,1,1,0,1,1.0,,99556
1,-0.353,0,0,0,0,0.0,0.0,98799
1,0.929,1,1,0,1,1.0,,2586
0,-0.8340000000000001,0,0,0,1,0.0,,36433
0,0.308,0,1,0,1,0.0,,88602
1,0.013,1,0,0,1,1.0,,66154
1,0.199,1,1,0,1,1.0,,29233
0,0.408,1,1,1,1,,,74229
0,0.08800000000000001,0,0,0,0,0.0,0.0,15
1,0.44,0,0,0,1,0.0,,2552
0,-0.387,0,0,0,1,0.0,,62655
0,-1.221,1,1,0,1,1.0,,18777
0,-1.13,0,1,0,0,0.0,1.0,55927
0,0.49,1,1,0,1,1.0,,80873
0,-0.932,0,0,0,0,0.0,0.0,11687
0,0.375,1,1,0,1,1.0,,95346
0,-0.025,1,0,0,1,1.0,,58839
1,0.373,0,1,1,1,,,10680
0,-0.371,0,1,0,0,0.0,1.0,21258
0,-0.797,1,1,0,1,1.0,,84234
1,-0.384,0,1,0,1,0.0,,81531
1,-2.182,1,1,1,1,,,19222
1,0.805,1,0,0,1,1.0,,93840
0,-1.581,0,1,0,0,0.0,1.0,18019
1,-1.009,1,0,0,1,1.0,,90782
1,0.33,1,1,0,1,1.0,,93300
0,-0.254,1,0,0,1,1.0,,92242
0,-0.818,0,1,0,1,0.0,,22066
0,0.33,1,1,0,1,1.0,,44996
0,1.141,0,0,0,1,0.0,,40080
1,-1.354,1,1,0,1,1.0,,14075
1,1.379,1,1,1,1,,,47871
0,-1.971,1,1,0,1,1.0,,2913
0,0.508,0,0,0,1,0.0,,9624
0,0.398,1,1,0,1,1.0,,13203
0,-1.618,0,0,0,1,0.0,,21137
1,-0.196,0,1,0,1,0.0,,57462
0,0.478,0,0,1,1,,,80893
1,-0.208,0,1,1,1,,,84448
0,1.032,0,1,0,0,0.0,1.0,71503
1,-1.392,1,1,0,1,1.0,,98383
0,0.039,0,0,0,1,0.0,,99927
0,-0.213,0,0,0,0,0.0,0.0,52819
0,0.809,0,0,0,0,0.0,0.0,11481
0,0.161,0,1,1,1,,,69651
0,-2.537,1,0,0,1,1.0,,91610
0,1.384,1,0,0,1,1.0,,32880
0,0.268,1,1,0,0,1.0,1.0,51224
1,-1.166,0,1,0,1,0.0,,40321
0,0.396,0,0,0,0,0.0,0.0,23900
0,-2.224,1,1,0,1,1.0,,32014
0,0.474,1,1,0,1,1.0,,14831
0,-0.944,0,1,0,0,0.0,1.0,90853
0,-2.12,0,0,0,1,0.0,,22725
0,2.194,0,0,0,0,0.0,0.0,14432
0,0.754,1,1,0,1,1.0,,28422
0,-1.494,1,0,0,1,1.0,,58728
0,1.35,0,1,0,0,0.0,1.0,68701
1,-1.547,1,1,0,1,1.0,,71274
0,-0.207,0,1,0,1,0.0,,5379
1,-2.661,0,1,0,0,0.0,1.0,1557
0,0.7959999999999999,1,0,1,1,,,96668
1,0.723,1,1,0,1,1.0,,11402
1,1.218,0,1,0,1,0.0,,6278
0,-1.083,0,1,0,0,0.0,1.0,7549
0,0.523,0,1,0,0,0.0,1.0,73384
0,1.057,0,0,0,0,0.0,0.0,96405
0,1.254,0,0,0,0,0.0,0.0,52056
0,0.845,1,1,0,1,1.0,,68358
0,0.97,0,0,0,0,0.0,0.0,78691
1,0.603,1,0,1,1,,,16033
0,-0.7190000000000001,0,1,0,0,0.0,1.0,16916
0,1.188,0,0,0,1,0.0,,71199
0,1.835,0,1,0,0,0.0,1.0,12842
0,0.677,0,0,0,0,0.0,0.0,21133
0,-0.55,1,1,0,1,1.0,,23591
0,-0.071,1,1,0,1,1.0,,86969
0,-1.089,0,0,0,0,0.0,0.0,17533
1,1.018,1,1,0,1,1.0,,65452
0,-0.044,0,1,0,1,0.0,,16668
0,0.507,1,0,0,1,1.0,,95668
1,-1.3869999999999998,0,1,0,1,0.0,,52714
0,0.588,0,1,0,0,0.0,1.0,43164
0,-0.315,1,1,0,1,1.0,,26630
0,0.068,0,0,0,1,0.0,,83189
1,1.18,0,0,0,1,0.0,,64336
1,-0.634,0,1,0,1,0.0,,81073
0,0.71,0,1,0,0,0.0,1.0,36513
1,-1.368,0,0,0,1,0.0,,26434
0,0.733,0,1,0,1,0.0,,4852
1,1.098,1,0,1,1,,,28215
0,-0.59,0,0,0,1,0.0,,34134
1,-0.134,0,0,0,0,0.0,0.0,59258
0,0.414,0,0,0,1,0.0,,88121
0,0.732,0,1,1,1,,,57547
0,-2.271,1,0,0,1,1.0,,10767
1,-0.77,1,1,0,1,1.0,,55014
1,0.496,1,1,0,1,1.0,,18208
0,-0.329,0,1,0,1,0.0,,92563
0,-0.265,0,1,0,1,0.0,,76985
0,-0.16,1,0,0,1,1.0,,87629
0,0.606,1,0,0,1,1.0,,76650
0,1.069,0,0,0,0,0.0,0.0,606
1,1.162,0,0,1,1,,,16322
0,0.634,0,0,0,0,0.0,0.0,58447
1,-0.525,1,0,1,1,,,7306
0,0.343,0,1,0,0,0.0,1.0,90739
0,0.394,0,1,0,0,0.0,1.0,83065
0,-0.064,0,0,0,0,0.0,0.0,66536
0,-0.098,1,1,0,1,1.0,,11598
1,0.5820000000000001,0,0,1,1,,,94186
0,0.396,0,0,0,0,0.0,0.0,42370
1,-0.765,0,0,0,0,0.0,0.0,30531
1,0.524,1,0,0,1,1.0,,53489
0,0.306,0,0,0,0,0.0,0.0,20868
0,-0.224,1,1,1,1,,,43432
0,-0.189,0,0,0,1,0.0,,34614
0,1.5519999999999998,0,0,0,1,0.0,,71591
1,0.639,1,1,0,1,1.0,,96698
0,-0.102,0,0,0,1,0.0,,56906
0,-0.279,1,0,0,1,1.0,,45248
0,0.033,1,0,0,1,1.0,,40040
0,0.345,0,1,0,0,0.0,1.0,76715
0,-0.4,0,0,0,1,0.0,,66193
0,1.105,0,0,0,0,0.0,0.0,36208
0,-1.159,0,0,0,0,0.0,0.0,55518
0,0.434,0,1,0,1,0.0,,80022
1,0.113,0,0,0,1,0.0,,10589
0,-0.608,1,1,0,1,1.0,,84010
0,0.852,1,1,0,1,1.0,,55288
1,-0.904,1,1,0,1,1.0,,33664
1,0.631,0,0,0,1,0.0,,48899
0,1.011,0,1,0,1,0.0,,17689
0,-0.207,0,0,0,1,0.0,,60588
1,-0.226,1,0,0,1,1.0,,69343
1,1.095,1,1,1,1,,,13430
0,0.4270000000000001,0,0,0,0,0.0,0.0,18474
1,-1.4169999999999998,0,0,0,1,0.0,,95656
0,0.14300000000000002,0,0,0,1,0.0,,86715
0,-1.35,0,1,0,1,0.0,,84073
0,1.618,0,1,0,1,0.0,,44129
0,-1.894,0,0,0,0,0.0,0.0,24308
1,0.052000000000000005,0,0,0,0,0.0,0.0,17936
1,-1.07,1,1,0,1,1.0,,9893
0,-0.502,0,1,0,0,0.0,1.0,66061
0,1.026,1,1,0,1,1.0,,35309
0,1.579,0,1,0,1,0.0,,74971
0,-1.62,1,0,0,1,1.0,,25048
0,-0.252,0,1,0,1,0.0,,19675
0,-0.309,0,1,0,1,0.0,,46167
0,-0.084,1,0,0,1,1.0,,19331
0,-1.763,0,0,0,1,0.0,,65568
0,-1.012,1,0,0,1,1.0,,20214
0,-0.8270000000000001,1,0,0,1,1.0,,72507
0,0.08,1,1,0,1,1.0,,12074
0,-0.273,1,0,0,1,1.0,,48130
1,0.138,0,0,0,0,0.0,0.0,37640
0,0.43,0,0,0,0,0.0,0.0,98822
0,-1.277,0,1,0,1,0.0,,19814
0,-1.186,1,1,0,1,1.0,,769
1,0.8240000000000001,0,0,1,1,,,50499
0,0.875,1,0,0,1,1.0,,31305
0,0.5770000000000001,1,1,0,1,1.0,,98692
0,-0.165,0,1,0,1,0.0,,1719
0,-0.823,0,0,0,0,0.0,0.0,524
0,0.185,1,1,0,1,1.0,,41995
0,0.149,1,1,1,1,,,19725
1,-0.223,1,1,0,1,1.0,,90309
0,-1.381,0,1,0,1,0.0,,7797
0,-0.385,0,0,0,1,0.0,,43475
0,-0.785,0,1,0,1,0.0,,616
1,1.071,1,1,0,1,1.0,,20993
0,-1.5219999999999998,1,1,0,1,1.0,,5897
1,-0.7440000000000001,0,1,0,1,0.0,,66511
0,0.733,0,0,0,0,0.0,0.0,2944
0,0.498,0,1,0,1,0.0,,44492
1,-0.255,1,1,0,1,1.0,,22352
1,1.529,1,0,1,1,,,45225
0,0.831,1,0,0,1,1.0,,88186
1,0.279,1,0,1,1,,,23816
1,-0.8909999999999999,0,0,0,0,0.0,0.0,40523
1,1.265,0,0,1,1,,,25557
0,-0.054000000000000006,0,1,0,0,0.0,1.0,81943
0,-1.3090000000000002,1,0,0,1,1.0,,87742
0,-1.378,0,0,1,1,,,6863
0,0.237,1,0,0,1,1.0,,17632
1,-2.3280000000000003,1,1,0,1,1.0,,27721
0,-0.312,1,1,0,1,1.0,,82494
1,-0.012,1,0,0,1,1.0,,17747
0,3.1210000000000004,0,1,0,0,0.0,1.0,94831
1,-2.0,1,1,0,1,1.0,,35692
0,-0.101,1,0,0,1,1.0,,97391
0,-1.263,0,0,0,0,0.0,0.0,47002
0,-0.6829999999999999,1,0,0,1,1.0,,62816
0,-0.897,1,0,0,1,1.0,,98865
0,0.7240000000000001,1,1,0,1,1.0,,45392
1,0.062,0,1,0,1,0.0,,73976
1,-1.217,0,1,0,1,0.0,,22836
1,-0.848,0,1,0,0,0.0,1.0,84854
0,0.301,0,1,0,0,0.0,1.0,72691
0,0.046,0,0,0,0,0.0,0.0,66595
1,0.711,1,1,0,1,1.0,,81004
0,1.132,0,0,0,1,0.0,,53506
0,-0.313,0,0,1,1,,,65357
0,-0.242,0,0,0,1,0.0,,82084
0,0.862,0,0,0,1,0.0,,87464
1,0.36,0,0,0,0,0.0,0.0,94733
1,-0.08199999999999999,1,0,1,1,,,689
1,-0.5870000000000001,0,0,0,1,0.0,,21431
0,0.885,0,1,0,0,0.0,1.0,43709
1,-0.122,1,0,0,1,1.0,,43643
0,0.785,1,0,0,1,1.0,,18440
1,1.716,0,1,0,1,0.0,,79564
1,1.255,1,1,0,1,1.0,,69020
0,0.932,0,1,0,1,0.0,,14882
0,-0.165,0,0,0,1,0.0,,14636
1,0.206,0,1,0,1,0.0,,61008
0,0.249,0,0,0,1,0.0,,45390
0,-0.037000000000000005,0,0,0,0,0.0,0.0,44900
0,-0.782,1,1,0,1,1.0,,78990
0,1.196,0,0,0,1,0.0,,16186
0,-0.62,0,1,0,0,0.0,1.0,55713
0,0.929,1,0,0,1,1.0,,47864
0,2.122,1,1,0,1,1.0,,27525
0,-1.736,1,0,0,1,1.0,,36339
1,-0.026,0,0,0,1,0.0,,59443
1,0.14300000000000002,0,1,0,1,0.0,,40638
1,-1.545,1,1,1,1,,,40610
1,0.562,1,1,1,1,,,87539
0,1.046,0,0,0,0,0.0,0.0,1936
0,0.603,0,0,0,0,0.0,0.0,72530
0,0.942,1,1,0,1,1.0,,165
0,0.5710000000000001,1,1,0,1,1.0,,34449
0,1.084,1,1,0,1,1.0,,26091
1,2.224,0,1,1,1,,,73511
0,-0.983,0,0,0,1,0.0,,8834
1,-0.7879999999999999,0,0,0,0,0.0,0.0,73082
1,-0.225,1,1,0,1,1.0,,9203
0,-0.327,1,1,0,1,1.0,,82711
0,-0.516,0,1,0,0,0.0,1.0,25244
0,-0.8190000000000001,0,0,0,1,0.0,,24460
1,-0.026,0,0,0,0,0.0,0.0,33869
0,2.4,0,0,0,0,0.0,0.0,6451
1,0.63,1,0,0,1,1.0,,59358
1,0.895,0,1,1,1,,,67272
0,-0.384,0,1,0,0,0.0,1.0,25326
0,0.247,1,0,0,1,1.0,,39733
0,-0.777,0,1,0,1,0.0,,27201
1,-1.196,1,1,1,1,,,23898
0,-1.19,0,1,0,0,0.0,1.0,72777
0,-0.769,0,0,0,1,0.0,,80029
0,-1.105,0,1,0,0,0.0,1.0,10616
0,-0.446,0,1,0,1,0.0,,30825
0,1.546,0,0,0,1,0.0,,81810
0,-0.494,0,0,0,0,0.0,0.0,28720
1,1.588,0,0,0,1,0.0,,21190
0,0.6940000000000001,0,0,0,1,0.0,,4605
0,-0.899,1,0,0,1,1.0,,30576
0,-1.01,1,0,0,1,1.0,,14415
0,0.713,1,0,0,1,1.0,,65688
0,-1.042,0,0,0,1,0.0,,2596
1,-1.156,0,1,1,1,,,69889
0,-1.025,0,1,0,0,0.0,1.0,49461
1,0.015,1,1,0,1,1.0,,25173
0,0.473,0,0,0,1,0.0,,10692
0,-0.047,0,0,0,0,0.0,0.0,96470
1,-0.993,0,1,0,1,0.0,,82077
0,0.134,1,1,0,1,1.0,,74174
1,-0.499,0,0,0,1,0.0,,43954
